id,name,rarity,image_filename,sort_order
p10072,Steelix Mega,rare,p10072.png,208100720
p10073,Pidgeot Mega,epic,p10073.png,18100730
p10074,Glalie Mega,rare,p10074.png,362100740
p10075,Diancie Mega,legendary,p10075.png,719100750
p10076,Metagross Mega,epic,p10076.png,376100760
p10077,Kyogre Primal,legendary,p10077.png,382100770
p10078,Groudon Primal,legendary,p10078.png,383100780
p10079,Rayquaza Mega,legendary,p10079.png,384100790
p1008,Miraidon,legendary,p1008.png,1008010080
p10080,Pikachu Rock Star,rare,p10080.png,25100800
p10081,Pikachu Belle,rare,p10081.png,25100810
p10082,Pikachu Pop Star,rare,p10082.png,25100820
p10083,Pikachu Phd,rare,p10083.png,25100830
p10084,Pikachu Libre,rare,p10084.png,25100840
p10085,Pikachu Cosplay,rare,p10085.png,25100850
p10086,Hoopa Unbound,legendary,p10086.png,720100860
p10087,Camerupt Mega,rare,p10087.png,323100870
p10088,Lopunny Mega,rare,p10088.png,428100880
p10089,Salamence Mega,epic,p10089.png,373100890
p1009,Walking Wake,legendary,p1009.png,1009010090
p10090,Beedrill Mega,epic,p10090.png,15100900
p10091,Rattata Alola,common,p10091.png,19100910
p10092,Raticate Alola,rare,p10092.png,20100920
p10093,Raticate Totem Alola,rare,p10093.png,20100930
p10094,Pikachu Original Cap,rare,p10094.png,25100940
p10095,Pikachu Hoenn Cap,rare,p10095.png,25100950
p10096,Pikachu Sinnoh Cap,rare,p10096.png,25100960
p10097,Pikachu Unova Cap,rare,p10097.png,25100970
p10098,Pikachu Kalos Cap,rare,p10098.png,25100980
p10099,Pikachu Alola Cap,rare,p10099.png,25100990
p101,Electrode,rare,p101.png,101001010
p1010,Iron Leaves,legendary,p1010.png,1010010100
p10100,Raichu Alola,epic,p10100.png,26101000
p10101,Sandshrew Alola,common,p10101.png,27101010
p10102,Sandslash Alola,rare,p10102.png,28101020
p10103,Vulpix Alola,common,p10103.png,37101030
p10104,Ninetales Alola,rare,p10104.png,38101040
p10105,Diglett Alola,common,p10105.png,50101050
p10106,Dugtrio Alola,rare,p10106.png,51101060
p10107,Meowth Alola,common,p10107.png,52101070
p10108,Persian Alola,rare,p10108.png,53101080
p10109,Geodude Alola,common,p10109.png,74101090
p1011,Dipplin,rare,p1011.png,1011010110
p10110,Graveler Alola,rare,p10110.png,75101100
p10111,Golem Alola,epic,p10111.png,76101110
p10112,Grimer Alola,common,p10112.png,88101120
p10113,Muk Alola,rare,p10113.png,89101130
p10114,Exeggutor Alola,rare,p10114.png,103101140
p10115,Marowak Alola,rare,p10115.png,105101150
p10116,Greninja Battle Bond,epic,p10116.png,658101160
p10117,Greninja Ash,epic,p10117.png,658101170
p10118,Zygarde 10 Power Construct,legendary,p10118.png,718101180
p10119,Zygarde 50 Power Construct,legendary,p10119.png,718101190
p1012,Poltchageist,common,p1012.png,1012010120
p10120,Zygarde Complete,legendary,p10120.png,718101200
p10121,Gumshoos Totem,rare,p10121.png,735101210
p10122,Vikavolt Totem,epic,p10122.png,738101220
p10123,Oricorio Pom Pom,common,p10123.png,741101230
p10124,Oricorio Pau,common,p10124.png,741101240
p10125,Oricorio Sensu,common,p10125.png,741101250
p10126,Lycanroc Midnight,rare,p10126.png,745101260
p10127,Wishiwashi School,common,p10127.png,746101270
p1013,Sinistcha,rare,p1013.png,1013010130
p10130,Minior Orange Meteor,common,p10130.png,774101300
p10131,Minior Yellow Meteor,common,p10131.png,774101310
p10132,Minior Green Meteor,common,p10132.png,774101320
p10133,Minior Blue Meteor,common,p10133.png,774101330
p10134,Minior Indigo Meteor,common,p10134.png,774101340
p10135,Minior Violet Meteor,common,p10135.png,774101350
p10136,Minior Red,common,p10136.png,774101360
p10137,Minior Orange,common,p10137.png,774101370
p10138,Minior Yellow,common,p10138.png,774101380
p10139,Minior Green,common,p10139.png,774101390
p1014,Okidogi,legendary,p1014.png,1014010140
p10140,Minior Blue,common,p10140.png,774101400
p10141,Minior Indigo,common,p10141.png,774101410
p10142,Minior Violet,common,p10142.png,774101420
p10143,Mimikyu Busted,common,p10143.png,778101430
p10144,Mimikyu Totem Disguised,common,p10144.png,778101440
p10145,Mimikyu Totem Busted,common,p10145.png,778101450
p10146,Kommo O Totem,epic,p10146.png,784101460
p10147,Magearna Original,legendary,p10147.png,801101470
p10148,Pikachu Partner Cap,rare,p10148.png,25101480
p10149,Marowak Totem,rare,p10149.png,105101490
p1015,Munkidori,legendary,p1015.png,1015010150
p10150,Ribombee Totem,rare,p10150.png,743101500
p10151,Rockruff Own Tempo,common,p10151.png,744101510
p10152,Lycanroc Dusk,rare,p10152.png,745101520
p10155,Necrozma Dusk,legendary,p10155.png,800101550
p10156,Necrozma Dawn,legendary,p10156.png,800101560
p10157,Necrozma Ultra,legendary,p10157.png,800101570
p1016,Fezandipiti,legendary,p1016.png,1016010160
p10160,Pikachu World Cap,rare,p10160.png,25101600
p10161,Meowth Galar,common,p10161.png,52101610
p10162,Ponyta Galar,common,p10162.png,77101620
p10163,Rapidash Galar,rare,p10163.png,78101630
p10164,Slowpoke Galar,common,p10164.png,79101640
p10165,Slowbro Galar,rare,p10165.png,80101650
p10166,Farfetchd Galar,common,p10166.png,83101660
p10167,Weezing Galar,rare,p10167.png,110101670
p10168,Mr Mime Galar,rare,p10168.png,122101680
p10169,Articuno Galar,legendary,p10169.png,144101690
p1017,Ogerpon,legendary,p1017.png,1017010170
p10170,Zapdos Galar,legendary,p10170.png,145101700
p10171,Moltres Galar,legendary,p10171.png,146101710
p10172,Slowking Galar,rare,p10172.png,199101720
p10173,Corsola Galar,common,p10173.png,222101730
p10174,Zigzagoon Galar,common,p10174.png,263101740
p10175,Linoone Galar,rare,p10175.png,264101750
p10176,Darumaka Galar,common,p10176.png,554101760
p10177,Darmanitan Galar Standard,rare,p10177.png,555101770
p10178,Darmanitan Galar Zen,rare,p10178.png,555101780
p10179,Yamask Galar,common,p10179.png,562101790
p1018,Archaludon,rare,p1018.png,1018010180
p10180,Stunfisk Galar,common,p10180.png,618101800
p10181,Zygarde 10,legendary,p10181.png,718101810
p10182,Cramorant Gulping,common,p10182.png,845101820
p10183,Cramorant Gorging,common,p10183.png,845101830
p10184,Toxtricity Low Key,rare,p10184.png,849101840
p10185,Eiscue Noice,common,p10185.png,875101850
p10186,Indeedee Female,common,p10186.png,876101860
p10187,Morpeko Hangry,common,p10187.png,877101870
p10188,Zacian Crowned,legendary,p10188.png,888101880
p10189,Zamazenta Crowned,legendary,p10189.png,889101890
p1019,Hydrapple,epic,p1019.png,1019010190
p10190,Eternatus Eternamax,legendary,p10190.png,890101900
p10191,Urshifu Rapid Strike,legendary,p10191.png,892101910
p10192,Zarude Dada,legendary,p10192.png,893101920
p10193,Calyrex Ice,legendary,p10193.png,898101930
p10194,Calyrex Shadow,legendary,p10194.png,898101940
p10195,Venusaur Gmax,epic,p10195.png,3101950
p10196,Charizard Gmax,epic,p10196.png,6101960
p10197,Blastoise Gmax,epic,p10197.png,9101970
p10198,Butterfree Gmax,epic,p10198.png,12101980
p10199,Pikachu Gmax,rare,p10199.png,25101990
p102,Exeggcute,common,p102.png,102001020
p1020,Gouging Fire,legendary,p1020.png,1020010200
p10200,Meowth Gmax,rare,p10200.png,52102000
p10201,Machamp Gmax,epic,p10201.png,68102010
p10202,Gengar Gmax,epic,p10202.png,94102020
p10203,Kingler Gmax,rare,p10203.png,99102030
p10204,Lapras Gmax,rare,p10204.png,131102040
p10205,Eevee Gmax,rare,p10205.png,133102050
p10206,Snorlax Gmax,rare,p10206.png,143102060
p10207,Garbodor Gmax,rare,p10207.png,569102070
p10208,Melmetal Gmax,legendary,p10208.png,809102080
p10209,Rillaboom Gmax,epic,p10209.png,812102090
p1021,Raging Bolt,legendary,p1021.png,1021010210
p10210,Cinderace Gmax,epic,p10210.png,815102100
p10211,Inteleon Gmax,epic,p10211.png,818102110
p10212,Corviknight Gmax,epic,p10212.png,823102120
p10213,Orbeetle Gmax,epic,p10213.png,826102130
p10214,Drednaw Gmax,rare,p10214.png,834102140
p10215,Coalossal Gmax,epic,p10215.png,839102150
p10216,Flapple Gmax,rare,p10216.png,841102160
p10217,Appletun Gmax,rare,p10217.png,842102170
p10218,Sandaconda Gmax,rare,p10218.png,844102180
p10219,Toxtricity Amped Gmax,rare,p10219.png,849102190
p1022,Iron Boulder,legendary,p1022.png,1022010220
p10220,Centiskorch Gmax,rare,p10220.png,851102200
p10221,Hatterene Gmax,epic,p10221.png,858102210
p10222,Grimmsnarl Gmax,epic,p10222.png,861102220
p10223,Alcremie Gmax,rare,p10223.png,869102230
p10224,Copperajah Gmax,rare,p10224.png,879102240
p10225,Duraludon Gmax,rare,p10225.png,884102250
p10226,Urshifu Single Strike Gmax,legendary,p10226.png,892102260
p10227,Urshifu Rapid Strike Gmax,legendary,p10227.png,892102270
p10228,Toxtricity Low Key Gmax,rare,p10228.png,849102280
p10229,Growlithe Hisui,common,p10229.png,58102290
p1023,Iron Crown,legendary,p1023.png,1023010230
p10230,Arcanine Hisui,rare,p10230.png,59102300
p10231,Voltorb Hisui,common,p10231.png,100102310
p10232,Electrode Hisui,rare,p10232.png,101102320
p10233,Typhlosion Hisui,epic,p10233.png,157102330
p10234,Qwilfish Hisui,common,p10234.png,211102340
p10235,Sneasel Hisui,common,p10235.png,215102350
p10236,Samurott Hisui,epic,p10236.png,503102360
p10237,Lilligant Hisui,rare,p10237.png,549102370
p10238,Zorua Hisui,common,p10238.png,570102380
p10239,Zoroark Hisui,rare,p10239.png,571102390
p1024,Terapagos,legendary,p1024.png,1024010240
p10240,Braviary Hisui,rare,p10240.png,628102400
p10241,Sliggoo Hisui,rare,p10241.png,705102410
p10242,Goodra Hisui,epic,p10242.png,706102420
p10243,Avalugg Hisui,rare,p10243.png,713102430
p10244,Decidueye Hisui,epic,p10244.png,724102440
p10245,Dialga Origin,legendary,p10245.png,483102450
p10246,Palkia Origin,legendary,p10246.png,484102460
p10247,Basculin White Striped,common,p10247.png,550102470
p10248,Basculegion Female,rare,p10248.png,902102480
p10249,Enamorus Therian,legendary,p10249.png,905102490
p1025,Pecharunt,legendary,p1025.png,1025010250
p10250,Tauros Paldea Combat Breed,common,p10250.png,128102500
p10251,Tauros Paldea Blaze Breed,common,p10251.png,128102510
p10252,Tauros Paldea Aqua Breed,common,p10252.png,128102520
p10253,Wooper Paldea,common,p10253.png,194102530
p10254,Oinkologne Female,rare,p10254.png,916102540
p10255,Dudunsparce Three Segment,rare,p10255.png,982102550
p10256,Palafin Hero,rare,p10256.png,964102560
p10257,Maushold Family Of Three,rare,p10257.png,925102570
p10258,Tatsugiri Droopy,common,p10258.png,978102580
p10259,Tatsugiri Stretchy,common,p10259.png,978102590
p10260,Squawkabilly Blue Plumage,common,p10260.png,931102600
p10261,Squawkabilly Yellow Plumage,common,p10261.png,931102610
p10262,Squawkabilly White Plumage,common,p10262.png,931102620
p10263,Gimmighoul Roaming,common,p10263.png,999102630
p10272,Ursaluna Bloodmoon,epic,p10272.png,901102720
p10273,Ogerpon Wellspring Mask,legendary,p10273.png,1017102730
p10274,Ogerpon Hearthflame Mask,legendary,p10274.png,1017102740
p10275,Ogerpon Cornerstone Mask,legendary,p10275.png,1017102750
p10276,Terapagos Terastal,legendary,p10276.png,1024102760
p10277,Terapagos Stellar,legendary,p10277.png,1024102770
p10279,Victreebel Mega,epic,p10279.png,71102790
p10281,Dragonite Mega,epic,p10281.png,149102810
p103,Exeggutor,rare,p103.png,103001030
p104,Cubone,common,p104.png,104001040
p105,Marowak,rare,p105.png,105001050
p106,Hitmonlee,rare,p106.png,106001060
p107,Hitmonchan,rare,p107.png,107001070
p108,Lickitung,common,p108.png,108001080
p109,Koffing,common,p109.png,109001090
p11,Metapod,rare,p11.png,11000110
p110,Weezing,rare,p110.png,110001100
p111,Rhyhorn,common,p111.png,111001110
p112,Rhydon,rare,p112.png,112001120
p113,Chansey,rare,p113.png,113001130
p114,Tangela,common,p114.png,114001140
p115,Kangaskhan,common,p115.png,115001150
p116,Horsea,common,p116.png,116001160
p117,Seadra,rare,p117.png,117001170
p118,Goldeen,common,p118.png,118001180
p119,Seaking,rare,p119.png,119001190
p12,Butterfree,epic,p12.png,12000120
p120,Staryu,common,p120.png,120001200
p121,Starmie,rare,p121.png,121001210
p122,Mr Mime,rare,p122.png,122001220
p123,Scyther,common,p123.png,123001230
p124,Jynx,rare,p124.png,124001240
p125,Electabuzz,rare,p125.png,125001250
p126,Magmar,rare,p126.png,126001260
p127,Pinsir,common,p127.png,127001270
p128,Tauros,common,p128.png,128001280
p129,Magikarp,common,p129.png,129001290
p13,Weedle,common,p13.png,13000130
p130,Gyarados,rare,p130.png,130001300
p131,Lapras,common,p131.png,131001310
p132,Ditto,common,p132.png,132001320
p133,Eevee,common,p133.png,133001330
p134,Vaporeon,rare,p134.png,134001340
p135,Jolteon,rare,p135.png,135001350
p136,Flareon,rare,p136.png,136001360
p137,Porygon,common,p137.png,137001370
p138,Omanyte,common,p138.png,138001380
p139,Omastar,rare,p139.png,139001390
p14,Kakuna,rare,p14.png,14000140
p140,Kabuto,common,p140.png,140001400
p141,Kabutops,rare,p141.png,141001410
p142,Aerodactyl,common,p142.png,142001420
p143,Snorlax,rare,p143.png,143001430
p144,Articuno,legendary,p144.png,144001440
p145,Zapdos,legendary,p145.png,145001450
p146,Moltres,legendary,p146.png,146001460
p147,Dratini,common,p147.png,147001470
p148,Dragonair,rare,p148.png,148001480
p149,Dragonite,epic,p149.png,149001490
p15,Beedrill,epic,p15.png,15000150
p150,Mewtwo,legendary,p150.png,150001500
p151,Mew,legendary,p151.png,151001510
p152,Chikorita,common,p152.png,152001520
p153,Bayleef,rare,p153.png,153001530
p154,Meganium,epic,p154.png,154001540
p155,Cyndaquil,common,p155.png,155001550
p156,Quilava,rare,p156.png,156001560
p157,Typhlosion,epic,p157.png,157001570
p158,Totodile,common,p158.png,158001580
p159,Croconaw,rare,p159.png,159001590
p16,Pidgey,common,p16.png,16000160
p160,Feraligatr,epic,p160.png,160001600
p161,Sentret,common,p161.png,161001610
p162,Furret,rare,p162.png,162001620
p163,Hoothoot,common,p163.png,163001630
p164,Noctowl,rare,p164.png,164001640
p165,Ledyba,common,p165.png,165001650
p166,Ledian,rare,p166.png,166001660
p167,Spinarak,common,p167.png,167001670
p168,Ariados,rare,p168.png,168001680
p169,Crobat,epic,p169.png,169001690
p17,Pidgeotto,rare,p17.png,17000170
p170,Chinchou,common,p170.png,170001700
p171,Lanturn,rare,p171.png,171001710
p172-form-spiky-eared,Pichu Spiky Eared,common,p172-form-spiky-eared.png,172001720
p172,Pichu,common,p172.png,172001720
p173,Cleffa,common,p173.png,173001730
p174,Igglybuff,common,p174.png,174001740
p175,Togepi,common,p175.png,175001750
p176,Togetic,rare,p176.png,176001760
p177,Natu,common,p177.png,177001770
p178,Xatu,rare,p178.png,178001780
p179,Mareep,common,p179.png,179001790
p18,Pidgeot,epic,p18.png,18000180
p180,Flaaffy,rare,p180.png,180001800
p181,Ampharos,epic,p181.png,181001810
p182,Bellossom,epic,p182.png,182001820
p183,Marill,rare,p183.png,183001830
p184,Azumarill,epic,p184.png,184001840
p185,Sudowoodo,rare,p185.png,185001850
p186,Politoed,epic,p186.png,186001860
p187,Hoppip,common,p187.png,187001870
p188,Skiploom,rare,p188.png,188001880
p189,Jumpluff,epic,p189.png,189001890
p19,Rattata,common,p19.png,19000190
p190,Aipom,common,p190.png,190001900
p191,Sunkern,common,p191.png,191001910
p192,Sunflora,rare,p192.png,192001920
p193,Yanma,common,p193.png,193001930
p194,Wooper,common,p194.png,194001940
p195,Quagsire,rare,p195.png,195001950
p196,Espeon,rare,p196.png,196001960
p197,Umbreon,rare,p197.png,197001970
p198,Murkrow,common,p198.png,198001980
p199,Slowking,rare,p199.png,199001990
p2,Ivysaur,rare,p2.png,2000020
p20,Raticate,rare,p20.png,20000200
p200,Misdreavus,common,p200.png,200002000
p201-form-b,Unown B,common,p201-form-b.png,201002010
p201-form-c,Unown C,common,p201-form-c.png,201002010
p201-form-d,Unown D,common,p201-form-d.png,201002010
p201-form-e,Unown E,common,p201-form-e.png,201002010
p201-form-exclamation,Unown !,common,p201-form-exclamation.png,201002010
p201-form-f,Unown F,common,p201-form-f.png,201002010
p201-form-g,Unown G,common,p201-form-g.png,201002010
p201-form-h,Unown H,common,p201-form-h.png,201002010
p201-form-i,Unown I,common,p201-form-i.png,201002010
p201-form-j,Unown J,common,p201-form-j.png,201002010
p201-form-k,Unown K,common,p201-form-k.png,201002010
p201-form-l,Unown L,common,p201-form-l.png,201002010
p201-form-m,Unown M,common,p201-form-m.png,201002010
p201-form-n,Unown N,common,p201-form-n.png,201002010
p201-form-o,Unown O,common,p201-form-o.png,201002010
p201-form-p,Unown P,common,p201-form-p.png,201002010
p201-form-q,Unown Q,common,p201-form-q.png,201002010
p201-form-question,Unown ?,common,p201-form-question.png,201002010
p201-form-r,Unown R,common,p201-form-r.png,201002010
p201-form-s,Unown S,common,p201-form-s.png,201002010
p201-form-t,Unown T,common,p201-form-t.png,201002010
p201-form-u,Unown U,common,p201-form-u.png,201002010
p201-form-v,Unown V,common,p201-form-v.png,201002010
p201-form-w,Unown W,common,p201-form-w.png,201002010
p201-form-x,Unown X,common,p201-form-x.png,201002010
p201-form-y,Unown Y,common,p201-form-y.png,201002010
p201-form-z,Unown Z,common,p201-form-z.png,201002010
p201,Unown,common,p201.png,201002010
p202,Wobbuffet,rare,p202.png,202002020
p203,Girafarig,common,p203.png,203002030
p204,Pineco,common,p204.png,204002040
p205,Forretress,rare,p205.png,205002050
p206,Dunsparce,common,p206.png,206002060
p207,Gligar,common,p207.png,207002070
p208,Steelix,rare,p208.png,208002080
p209,Snubbull,common,p209.png,209002090
p21,Spearow,common,p21.png,21000210
p210,Granbull,rare,p210.png,210002100
p211,Qwilfish,common,p211.png,211002110
p212,Scizor,rare,p212.png,212002120
p213,Shuckle,common,p213.png,213002130
p214,Heracross,common,p214.png,214002140
p215,Sneasel,common,p215.png,215002150
p216,Teddiursa,common,p216.png,216002160
p217,Ursaring,rare,p217.png,217002170
p218,Slugma,common,p218.png,218002180
p219,Magcargo,rare,p219.png,219002190
p22,Fearow,rare,p22.png,22000220
p220,Swinub,common,p220.png,220002200
p221,Piloswine,rare,p221.png,221002210
p222,Corsola,common,p222.png,222002220
p223,Remoraid,common,p223.png,223002230
p224,Octillery,rare,p224.png,224002240
p225,Delibird,common,p225.png,225002250
p226,Mantine,rare,p226.png,226002260
p227,Skarmory,common,p227.png,227002270
p228,Houndour,common,p228.png,228002280
p229,Houndoom,rare,p229.png,229002290
p23,Ekans,common,p23.png,23000230
p230,Kingdra,epic,p230.png,230002300
p231,Phanpy,common,p231.png,231002310
p232,Donphan,rare,p232.png,232002320
p233,Porygon2,rare,p233.png,233002330
p234,Stantler,common,p234.png,234002340
p235,Smeargle,common,p235.png,235002350
p236,Tyrogue,common,p236.png,236002360
p237,Hitmontop,rare,p237.png,237002370
p238,Smoochum,common,p238.png,238002380
p239,Elekid,common,p239.png,239002390
p24,Arbok,rare,p24.png,24000240
p240,Magby,common,p240.png,240002400
p241,Miltank,common,p241.png,241002410
p242,Blissey,epic,p242.png,242002420
p243,Raikou,legendary,p243.png,243002430
p244,Entei,legendary,p244.png,244002440
p245,Suicune,legendary,p245.png,245002450
p246,Larvitar,common,p246.png,246002460
p247,Pupitar,rare,p247.png,247002470
p248,Tyranitar,epic,p248.png,248002480
p249,Lugia,legendary,p249.png,249002490
p25,Pikachu,rare,p25.png,25000250
p250,Ho Oh,legendary,p250.png,250002500
p251,Celebi,legendary,p251.png,251002510
p252,Treecko,common,p252.png,252002520
p253,Grovyle,rare,p253.png,253002530
p254,Sceptile,epic,p254.png,254002540
p255,Torchic,common,p255.png,255002550
p256,Combusken,rare,p256.png,256002560
p257,Blaziken,epic,p257.png,257002570
p258,Mudkip,common,p258.png,258002580
p259,Marshtomp,rare,p259.png,259002590
p26,Raichu,epic,p26.png,26000260
p260,Swampert,epic,p260.png,260002600
p261,Poochyena,common,p261.png,261002610
p262,Mightyena,rare,p262.png,262002620
p263,Zigzagoon,common,p263.png,263002630
p264,Linoone,rare,p264.png,264002640
p265,Wurmple,common,p265.png,265002650
p266,Silcoon,rare,p266.png,266002660
p267,Beautifly,epic,p267.png,267002670
p268,Cascoon,rare,p268.png,268002680
p269,Dustox,epic,p269.png,269002690
p27,Sandshrew,common,p27.png,27000270
p270,Lotad,common,p270.png,270002700
p271,Lombre,rare,p271.png,271002710
p272,Ludicolo,epic,p272.png,272002720
p273,Seedot,common,p273.png,273002730
p274,Nuzleaf,rare,p274.png,274002740
p275,Shiftry,epic,p275.png,275002750
p276,Taillow,common,p276.png,276002760
p277,Swellow,rare,p277.png,277002770
p278,Wingull,common,p278.png,278002780
p279,Pelipper,rare,p279.png,279002790
p28,Sandslash,rare,p28.png,28000280
p280,Ralts,common,p280.png,280002800
p281,Kirlia,rare,p281.png,281002810
p282,Gardevoir,epic,p282.png,282002820
p283,Surskit,common,p283.png,283002830
p284,Masquerain,rare,p284.png,284002840
p285,Shroomish,common,p285.png,285002850
p286,Breloom,rare,p286.png,286002860
p287,Slakoth,common,p287.png,287002870
p288,Vigoroth,rare,p288.png,288002880
p289,Slaking,epic,p289.png,289002890
p29,Nidoran F,common,p29.png,29000290
p290,Nincada,common,p290.png,290002900
p291,Ninjask,rare,p291.png,291002910
p292,Shedinja,rare,p292.png,292002920
p293,Whismur,common,p293.png,293002930
p294,Loudred,rare,p294.png,294002940
p295,Exploud,epic,p295.png,295002950
p296,Makuhita,common,p296.png,296002960
p297,Hariyama,rare,p297.png,297002970
p298,Azurill,common,p298.png,298002980
p299,Nosepass,common,p299.png,299002990
p3,Venusaur,epic,p3.png,3000030
p30,Nidorina,rare,p30.png,30000300
p300,Skitty,common,p300.png,300003000
p301,Delcatty,rare,p301.png,301003010
p302,Sableye,common,p302.png,302003020
p303,Mawile,common,p303.png,303003030
p304,Aron,common,p304.png,304003040
p305,Lairon,rare,p305.png,305003050
p306,Aggron,epic,p306.png,306003060
p307,Meditite,common,p307.png,307003070
p308,Medicham,rare,p308.png,308003080
p309,Electrike,common,p309.png,309003090
p31,Nidoqueen,epic,p31.png,31000310
p310,Manectric,rare,p310.png,310003100
p311,Plusle,common,p311.png,311003110
p312,Minun,common,p312.png,312003120
p313,Volbeat,common,p313.png,313003130
p314,Illumise,common,p314.png,314003140
p315,Roselia,rare,p315.png,315003150
p316,Gulpin,common,p316.png,316003160
p317,Swalot,rare,p317.png,317003170
p318,Carvanha,common,p318.png,318003180
p319,Sharpedo,rare,p319.png,319003190
p32,Nidoran M,common,p32.png,32000320
p320,Wailmer,common,p320.png,320003200
p321,Wailord,rare,p321.png,321003210
p322,Numel,common,p322.png,322003220
p323,Camerupt,rare,p323.png,323003230
p324,Torkoal,common,p324.png,324003240
p325,Spoink,common,p325.png,325003250
p326,Grumpig,rare,p326.png,326003260
p327,Spinda,common,p327.png,327003270
p328,Trapinch,common,p328.png,328003280
p329,Vibrava,rare,p329.png,329003290
p33,Nidorino,rare,p33.png,33000330
p330,Flygon,epic,p330.png,330003300
p331,Cacnea,common,p331.png,331003310
p332,Cacturne,rare,p332.png,332003320
p333,Swablu,common,p333.png,333003330
p334,Altaria,rare,p334.png,334003340
p335,Zangoose,common,p335.png,335003350
p336,Seviper,common,p336.png,336003360
p337,Lunatone,common,p337.png,337003370
p338,Solrock,common,p338.png,338003380
p339,Barboach,common,p339.png,339003390
p34,Nidoking,epic,p34.png,34000340
